Id                         FullName
debian7_64Guest            Debian GNU/Linux 7 (64-bit)
debian7Guest               Debian GNU/Linux 7 (32-bit)
debian6_64Guest            Debian GNU/Linux 6 (64-bit)
debian6Guest               Debian GNU/Linux 6 (32-bit)
debian5_64Guest            Debian GNU/Linux 5 (64-bit)
debian5Guest               Debian GNU/Linux 5 (32-bit)
debian4_64Guest            Debian GNU/Linux 4 (64-bit)
debian4Guest               Debian GNU/Linux 4 (32-bit)
opensuse64Guest            SUSE openSUSE (64-bit)
opensuseGuest              SUSE openSUSE (32-bit)
asianux8_64Guest           MIRACLE LINUX 8 (64-bit)
asianux7_64Guest           Asianux 7 (64-bit)
asianux4_64Guest           Asianux 4 (64-bit)
asianux4Guest              Asianux 4 (32-bit)
asianux3_64Guest           Asianux 3 (64-bit)
asianux3Guest              Asianux 3 (32-bit)
fedora64Guest              Red Hat Fedora (64-bit)
fedoraGuest                Red Hat Fedora (32-bit)
oesGuest                   Novell Open Enterprise Server
oracleLinux9_64Guest       Oracle Linux 9 (64-bit)
oracleLinux8_64Guest       Oracle Linux 8 (64-bit)
oracleLinux7_64Guest       Oracle Linux 7 (64-bit)
oracleLinux6_64Guest       Oracle Linux 6 (64-bit)
oracleLinux6Guest          Oracle Linux 6 (32-bit)
oracleLinux64Guest         Oracle Linux 4/5 (64-bit)
oracleLinuxGuest           Oracle Linux 4/5 (32-bit)
ubuntu64Guest              Ubuntu Linux (64-bit)
ubuntuGuest                Ubuntu Linux (32-bit)
coreos64Guest              CoreOS Linux (64-bit)
other6xLinux64Guest        Other 6.x or later Linux (64-bit)
other6xLinuxGuest          Other 6.x or later Linux (32-bit)
other5xLinux64Guest        Other 5.x Linux (64-bit)
other5xLinuxGuest          Other 5.x Linux (32-bit)
other4xLinux64Guest        Other 4.x Linux (64-bit)
other4xLinuxGuest          Other 4.x Linux (32-bit)
other3xLinux64Guest        Other 3.x Linux (64-bit)
other3xLinuxGuest          Other 3.x Linux (32-bit)
other26xLinux64Guest       Other 2.6.x Linux (64-bit)
other26xLinuxGuest         Other 2.6.x Linux (32-bit)
other24xLinux64Guest       Other 2.4.x Linux (64-bit)
other24xLinuxGuest         Other 2.4.x Linux (32-bit)
otherLinux64Guest          Other Linux (64-bit)
otherLinuxGuest            Other Linux (32-bit)
darwin23_64Guest           Apple macOS 14 (64-bit)
darwin22_64Guest           Apple macOS 13 (64-bit)
darwin21_64Guest           Apple macOS 12 (64-bit)
darwin20_64Guest           Apple macOS 11 (64-bit)
darwin19_64Guest           Apple macOS 10.15 (64-bit)
darwin18_64Guest           Apple macOS 10.14 (64-bit)
darwin17_64Guest           Apple macOS 10.13 (64-bit)
darwin16_64Guest           Apple macOS 10.12 (64-bit)
darwin15_64Guest           Apple Mac OS X 10.11 (64-bit)
darwin14_64Guest           Apple Mac OS X 10.10 (64-bit)
darwin13_64Guest           Apple Mac OS X 10.9 (64-bit)
darwin12_64Guest           Apple Mac OS X 10.8 (64-bit)
darwin11_64Guest           Apple Mac OS X 10.7 (64-bit)
darwin11Guest              Apple Mac OS X 10.7 (32-bit)
darwin10_64Guest           Apple Mac OS X 10.6 (64-bit)
